"row_id","order_id","product_id","sales","quantity","discount","profit"
"1","CA-2020-152156","387","261.96","2","0","41.9136"
"2","CA-2020-152156","832","731.9399999999999","3","0","219.58199999999997"
"3","CA-2020-138688","1439","14.62","2","0","6.8713999999999995"
"4","US-2019-108966","368","957.5775","5","0.45","-383.03100000000006"
"5","US-2019-108966","573","22.368000000000002","2","0.2","2.516399999999999"
"6","CA-2018-115812","569","48.86","7","0","14.169399999999996"
"7","CA-2018-115812","1136","7.28","4","0","1.9656000000000002"
"8","CA-2018-115812","1098","907.152","6","0.2","90.71520000000004"
"9","CA-2018-115812","534","18.504","3","0.2","5.7825"
"10","CA-2018-115812","295","114.9","5","0","34.46999999999999"
"11","CA-2018-115812","428","1706.1840000000002","9","0.2","85.3091999999998"
"12","CA-2018-115812","971","911.424","4","0.2","68.35680000000002"
"13","CA-2021-114412","1763","15.552000000000003","3","0.2","5.4432"
"14","CA-2020-161389","648","407.97600000000006","3","0.2","132.59219999999993"
"15","US-2019-118983","814","68.80999999999999","5","0.8","-123.858"
"16","US-2019-118983","1519","2.5439999999999996","3","0.8","-3.8160000000000016"
"17","CA-2018-105893","1525","665.88","6","0","13.317599999999999"
"18","CA-2018-167164","660","55.5","2","0","9.989999999999995"
"19","CA-2018-143336","1157","8.56","2","0","2.4823999999999993"
"20","CA-2018-143336","438","213.48000000000002","3","0.2","16.01099999999998"
"21","CA-2018-143336","1642","22.72","4","0.2","7.383999999999999"
"22","CA-2020-137330","1131","19.459999999999997","7","0","5.0596"
"23","CA-2020-137330","64","60.339999999999996","7","0","15.688400000000001"
"24","US-2021-156909","746","71.37199999999999","2","0.3","-1.0196000000000005"
"25","CA-2019-106320","368","1044.6299999999999","3","0","240.2649"
"26","CA-2020-121755","1632","11.648000000000001","2","0.2","4.2224"
"27","CA-2020-121755","916","90.57000000000001","3","0","11.774100000000004"
"28","US-2019-150630","1357","3083.4300000000003","7","0.5","-1665.0522"
"29","US-2019-150630","266","9.618000000000002","2","0.7","-7.0532"
"30","US-2019-150630","872","124.20000000000002","3","0.2","15.524999999999991"
"31","US-2019-150630","1291","3.2640000000000002","2","0.2","1.1015999999999997"
"32","US-2019-150630","361","86.304","6","0.2","9.709199999999989"
"33","US-2019-150630","56","6.858000000000001","6","0.7","-5.715"
"34","US-2019-150630","1037","15.76","2","0.2","3.5460000000000007"
"35","CA-2021-107727","537","29.472","3","0.2","9.946799999999998"
"36","CA-2020-117590","725","1097.5440000000003","7","0.2","123.4736999999999"
"37","CA-2020-117590","593","190.92","5","0.6","-147.96300000000002"
"38","CA-2019-117415","7","113.328","9","0.2","35.415"
"39","CA-2019-117415","168","532.3992","3","0.32","-46.97640000000001"
"40","CA-2019-117415","752","212.058","3","0.3","-15.146999999999991"
"41","CA-2019-117415","1279","371.168","4","0.2","41.75639999999996"
"42","CA-2021-120999","1250","147.168","4","0.2","16.556399999999996"
"43","CA-2020-101343","556","77.88","2","0","3.8939999999999912"
"44","CA-2021-139619","103","95.616","2","0.2","9.56160000000001"
"45","CA-2020-118255","1604","45.98","2","0","19.7714"
"46","CA-2020-118255","1646","17.46","2","0","8.206199999999999"
"47","CA-2018-146703","776","211.96","4","0","8.478399999999993"
"48","CA-2020-169194","915","45","3","0","4.950000000000001"
"49","CA-2020-169194","990","21.8","2","0","6.104000000000001"
